epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1167,1.62997,4.17064,0.01586,0.0037,0.63004,0.07295,0.04324,1.20546,4.54191,0.01466,0.00025722,0.00025722,0.00025722
2,159.471,1.12175,3.34659,0.01143,0.00528,0.84398,0.26326,0.14771,1.10717,4.14471,0.01442,0.000523496,0.000523496,0.000523496
3,275.339,1.13541,2.81335,0.01084,0.4188,0.30457,0.31864,0.15445,1.18759,3.75867,0.01618,0.000784395,0.000784395,0.000784395
4,469.73,1.1077,2.57863,0.0111,0.70147,0.22251,0.43149,0.19465,1.28157,3.4218,0.01726,0.00103992,0.00103992,0.00103992
5,1669.73,1.13992,2.35751,0.01169,0.60766,0.5167,0.57417,0.32947,1.26946,2.81724,0.01621,0.00129007,0.00129007,0.00129007
6,1776.13,1.11713,2.15395,0.01189,0.67532,0.65063,0.73344,0.34221,1.63675,2.54477,0.02257,0.00135826,0.00135826,0.00135826
7,1944.72,1.11986,1.91595,0.01101,0.66574,0.70546,0.72896,0.36985,1.5149,2.16238,0.02234,0.00134412,0.00134412,0.00134412
8,2115.08,1.09718,1.75183,0.01136,0.53319,0.61578,0.62585,0.26459,1.65341,2.34794,0.02686,0.00132997,0.00132997,0.00132997
9,2284.83,1.13754,1.72773,0.01209,0.71679,0.68141,0.78851,0.44787,1.33259,1.76501,0.01938,0.00131582,0.00131582,0.00131582
10,2450.96,1.09755,1.6144,0.01172,0.70407,0.77537,0.77339,0.42462,1.42991,1.68549,0.02036,0.00130168,0.00130168,0.00130168
11,2560.25,1.08386,1.51215,0.01144,0.61762,0.77923,0.80165,0.39709,1.57233,1.65154,0.02367,0.00128753,0.00128753,0.00128753
12,2665.82,1.0429,1.39262,0.01034,0.69877,0.74334,0.82988,0.3664,1.67984,1.59645,0.02525,0.00127338,0.00127338,0.00127338
13,2782.33,1.05998,1.30506,0.01097,0.71707,0.69316,0.80523,0.44509,1.4223,1.51921,0.02019,0.00125923,0.00125923,0.00125923
14,2878.11,1.06235,1.25115,0.01036,0.75391,0.7772,0.84473,0.42322,1.57309,1.36786,0.02351,0.00124509,0.00124509,0.00124509
15,2983.49,1.04644,1.24863,0.01076,0.71832,0.72891,0.81802,0.34396,1.76837,1.49017,0.02852,0.00123094,0.00123094,0.00123094
16,3124.99,1.03603,1.18422,0.01047,0.72957,0.71405,0.81497,0.37049,1.72471,1.45497,0.02596,0.00121679,0.00121679,0.00121679
17,3234.74,1.00626,1.12747,0.01011,0.74025,0.80001,0.8564,0.42274,1.61879,1.30592,0.02378,0.00120265,0.00120265,0.00120265
18,3338.51,0.99337,1.10964,0.0092,0.81652,0.8605,0.91765,0.4644,1.67815,1.13278,0.02358,0.0011885,0.0011885,0.0011885
19,3472.24,0.98984,1.03176,0.00986,0.78225,0.82349,0.90279,0.42056,1.69157,1.22162,0.02537,0.00117435,0.00117435,0.00117435
20,3584.29,0.99414,0.98107,0.00985,0.75076,0.77577,0.87645,0.41332,1.71484,1.23029,0.02512,0.00116021,0.00116021,0.00116021
21,3693.76,0.98355,0.93944,0.00986,0.76516,0.85842,0.89873,0.45052,1.61487,1.13879,0.02283,0.00114606,0.00114606,0.00114606
22,3795.14,1.02103,0.91948,0.0103,0.71707,0.86024,0.8575,0.37593,1.72034,1.17613,0.02851,0.00113191,0.00113191,0.00113191
23,3913.79,0.991,0.86732,0.0098,0.82346,0.79345,0.89078,0.43271,1.64029,1.04531,0.0248,0.00111776,0.00111776,0.00111776
24,4024.58,1.01397,0.86125,0.01002,0.86943,0.91865,0.96053,0.42997,1.73198,0.9431,0.0269,0.00110362,0.00110362,0.00110362
25,4132.93,1.01892,0.8696,0.01006,0.90345,0.87109,0.94408,0.47929,1.60835,0.8665,0.02399,0.00108947,0.00108947,0.00108947
26,4232.67,1.01421,0.84663,0.01019,0.84288,0.92188,0.95821,0.47532,1.59806,0.83432,0.0241,0.00107532,0.00107532,0.00107532
27,4347.05,0.95111,0.79404,0.00989,0.90479,0.89676,0.96257,0.47334,1.60097,0.80558,0.02421,0.00106118,0.00106118,0.00106118
28,4469.74,0.99517,0.78669,0.01005,0.85448,0.91631,0.94703,0.50907,1.56978,0.78538,0.02122,0.00104703,0.00104703,0.00104703
29,4585.51,0.93432,0.72526,0.00925,0.81547,0.94771,0.95502,0.43503,1.8133,0.85871,0.02704,0.00103288,0.00103288,0.00103288
30,4702.87,0.92835,0.69321,0.00906,0.88509,0.85703,0.9318,0.40089,1.90562,0.87914,0.02921,0.00101873,0.00101873,0.00101873
31,4961.01,0.97973,0.72306,0.00935,0.8238,0.89788,0.92577,0.45018,1.68319,0.87887,0.02494,0.00100459,0.00100459,0.00100459
32,5158.38,0.9521,0.71666,0.00958,0.8172,0.91568,0.93549,0.48963,1.51303,0.77607,0.02269,0.00099044,0.00099044,0.00099044
33,5311.51,0.92663,0.6826,0.00927,0.86349,0.90139,0.95711,0.49394,1.58188,0.72226,0.02338,0.000976293,0.000976293,0.000976293
34,5440.84,0.93822,0.68535,0.00999,0.82987,0.80777,0.9136,0.47816,1.45106,0.81433,0.02237,0.000962146,0.000962146,0.000962146
35,5575.55,0.92476,0.67448,0.00928,0.90391,0.87744,0.95488,0.49367,1.61125,0.74941,0.02321,0.000947999,0.000947999,0.000947999
36,5706.33,0.94416,0.66366,0.00964,0.88442,0.92346,0.95665,0.46421,1.68999,0.7952,0.02577,0.000933851,0.000933851,0.000933851
37,5825.61,0.89296,0.64856,0.00861,0.89937,0.92892,0.96134,0.52809,1.50419,0.67147,0.02177,0.000919704,0.000919704,0.000919704
38,5939.1,0.92009,0.62856,0.00891,0.86178,0.93652,0.96339,0.48013,1.71089,0.76614,0.02605,0.000905557,0.000905557,0.000905557
39,6062.8,0.88203,0.61614,0.00823,0.89014,0.92425,0.9453,0.45973,1.74255,0.77637,0.02638,0.00089141,0.00089141,0.00089141
40,6181.92,0.92224,0.61597,0.00838,0.86528,0.91762,0.94728,0.5202,1.57946,0.7135,0.02208,0.000877263,0.000877263,0.000877263
41,6299.01,0.90849,0.58644,0.00905,0.90864,0.92093,0.9549,0.44791,1.7751,0.80638,0.02841,0.000863116,0.000863116,0.000863116
42,6403.39,0.90297,0.61637,0.00832,0.87361,0.92833,0.9476,0.4736,1.70024,0.72969,0.02485,0.000848969,0.000848969,0.000848969
